#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:12:16.267,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:12:16.267,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:12:32.164,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:12:32.164,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:12:32.317,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:12:56.327,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:12:58.381,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:13:02.629,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:13:24.837,ENTER,37.33,1,,37.33,,,0,1,A,,,,,
BHP,20130205,10:13:27.270,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:13:28.062,ENTER,37.33,1,,37.33,,,0,1,A,,,,,
BHP,20130205,10:13:28.062,ENTER,37.33,1,,37.33,,,0,1,B,,,,,
BHP,20130205,10:13:35.018,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:13:47.061,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:13:47.061,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:14:23.291,ENTER,37.33,1,,37.33,,,0,1,B,,,,,
BHP,20130205,10:14:23.442,ENTER,37.33,1,,37.33,,,0,1,A,,,,,
BHP,20130205,10:14:24.271,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:14:41.749,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:15:03.388,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:15:03.388,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:15:03.449,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:15:11.423,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:15:19.438,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:15:23.330,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:15:25.735,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:15:25.735,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:16:09.263,ENTER,37.375,1,,37.375,,,0,1,B,,,,,
BHP,20130205,10:16:24.826,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:16:42.695,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:17:12.310,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:17:22.975,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:17:46.550,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:17:47.569,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:17:53.117,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:17:53.122,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:17:53.253,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:18:38.136,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
